damage,street_type,fire_unit,incident_start_date,structure_type,structure_category,roof_material,eaves,exterior_siding,window_pane,attached_patio_material,attached_fence_material,year_built
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,1997
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,No Patio Cover/Carport,Combustible,1980
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,No Patio Cover/Carport,No Fence,2004
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,No Fence,1981
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Enclosed,Wood,Multi Pane,Combustible,No Fence,1980
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,Combustible,No Fence,1978
Minor (10-25%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,Combustible,1992
Minor (10-25%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Unenclosed,Stucco Brick Cement,Single Pane,Combustible,No Fence,1969
Destroyed (>50%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Wood,Unknown,Unknown,Unknown,1978
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,No Fence,
Minor (10-25%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Multi Pane,Combustible,No Fence,1987
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,No Fence,1988
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Multi Pane,Combustible,Combustible,1989
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Wood,Single Pane,Combustible,Combustible,1990
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Stucco Brick Cement,Multi Pane,No Patio Cover/Carport,No Fence,2000
Destroyed (>50%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Multi Pane,Unknown,Unknown,1991
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Multi Story,Single Residence,Asphalt,Unenclosed,Wood,No Windows,No Patio Cover/Carport,Non Combustible,1991
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Tile,Unenclosed,Stucco Brick Cement,Multi Pane,Combustible,Combustible,1990
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Utility Misc Structure,Other Minor Structure,Asphalt,Enclosed,Wood,Multi Pane,Combustible,Combustible,
Affected (1-9%),Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Tile,Unenclosed,Wood,No Windows,Combustible,No Fence,1989
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Unenclosed,Wood,Single Pane,Combustible,Non Combustible,1972
No Damage,Road,LNU,6/6/2020 12:00:00 AM,Single Family Residence Single Story,Single Residence,Asphalt,Enclosed,Stucco Brick Cement,Single Pane,No Patio Cover/Carport,No Fence,
